text,label
gerçekten siz hikâye izlemek mi yeni yılmak,0
user çoook baklava se zaten,0
sn atatürk karma e m başlamak siyasî bağımsız ekonomik mümkün olmak gerçek özel sekte uğramak görmek kit halka özel ekonomik sorun üste gelmek düşünmek,0
konfederasyon aile sosyal politika bakanlık istişare aylık birlikte yapmak hazırlık çalışmak sonuç eylül işaret dil gün münasebetiyle türkiye dernek federasyon katılım gerçek sempozyum resimlemek,0
hakem tarih yazmak kişi karşı ön olmak alanyaspor kaybetmek,1
user user user user user user user user user emeklilik yaşa takılmak perişan çöz biz destek vermek,0
öğrenci siz gelmek değil bayi almak kadar vergi user user,0
user user sabır olmak soruşturmak devam etmek hele itiraf lezzet,0
toprak üst aziz etmek toprak alt zelil etmek ya rabbi,0
rüya mevzu olur olmak asla sonuçlanmak reel kesmek atmak meydan okumak düş bilmek,0
ne yapmak söylemek geç kalmak hissî,0
kimse tahammül evre yine allah gani gani give sabır,0
list hazırlamak kız se şimdi ebe sikmek gelmek beklemek am dal,1
ara öpmek se se,0
user user vekil unutmak engel hizmet zor siz beklemek bize yâr etmek,0
user kendi süleyman atfetmek fatiha bahane yanlış okuyan imam denetlemek bu hangi dış güç yönetmek araştırmak,0
kampüs bayılmak yaş var,1
hani miley türkiye müzik almak gelmek,0
gâvur zulüm yapmak kınamak müslüman se sessiz yakmak zulüm ateş kahrolsun demek dış yapmak kaç tane gâvur mal ambargo uygulamak ev,1
bide suriye,1
arap özenti bırakmak şeriat,1
user yok yok olmaz böyle,0
ehlî sünnet kavga etmek olmak ittifak yapmak demek cevaben ehlî sünnet iç küçük ihtilâf büyütmek fırka ara büyük ihtilâf küçülmek sadece hakikat hizmet etmek görmek,0
küçük yanmak soba üstüne tükürmek buhar izlemek sadece ben değil de,0
user adam birbiri yemek seneye i̇lyas salmak kemal sunal ihale girmek son teklif,0
kendi toparlamak görmek güç göstermek iyi hissetmek iyi iyi army,0
user user kabristan okumak allah affetmek gerçi pek fark yok,0
user ben eğitim topluluk akp gülmek hayat çelişki dolu i̇slamiyet demek onmak göre yaşamak vatan sever demek vatan hain oy vermek kısacası şey çelişki,1
user user se böyle demek tam inanmak şimdi erdoğan yol,0
almak haram puan zehir olmak layık bulmak satmak suriye sucuk,1
user ben üç gün çalışmak kalmak dört günde uyku tutmak madrid şey bedel var kahretmek,0
user ada uyduruk penaltı almak istemek demekki,0
kedi tarafından sevmek uyanmak koyun girmek,0
şu koca bina üst yıkmak gülümser ön yüzlerce,0
se öyle çağırmak ben böyle gelmek ben böyle çağırmak se öyle gelmek,0
user baş gelmek o öyle böyle bir gelmek,0
hoca zor sormak fazla maaş mi gâvur değil acımak biraz,1
çok avrupai bir arkadaş bir keko sevgili söylemek kadar,1
i̇nsa hayat daima tatlı tatlı prenses arkadaş,0
yıllamak tıp okumak kadar gayret sarf etmek ben değmek yıllamak üzülmek yas tıp öğrenci bir delikanlı kanser son evre olmak duymak kendi utanmak hayat makam önem şey varit meselâ sağlık,0
